Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
117,15997 (20.5679302),4721,"REVNATH CHOURE COLLEGE, SAONER",BCA,MAH-CET,AI,AI to AI,15997.0,20.5679302
118,15998 (20.5679302),16189,JANATA SHIKSHAN SANSTHA'S KISAN VEER,BCA,MAH-CET,AI,AI to AI,15998.0,20.5679302
119,16094 (20.3514087),6781,"Bhagwant Institute of Technology, Barshi",BCA,MAH-CET,AI,AI to AI,16094.0,20.3514087
120,16136 (20.3514087),5101,Khandesh College Education Society's Institute of,BCA,MAH-CET,AI,AI to AI,16136.0,20.3514087
121,16451 (19.2543162),4719,"ST. FRANCIS DE SALES COLLEGE, NAGPUR",BCA,MAH-CET,AI,AI to AI,16451.0,19.2543162
122,16513 (19.2543162),4138,"Jaidev Education Society, J D College of Engineering",BCA,MAH-CET,AI,AI to AI,16513.0,19.2543162
123,16557 (19.2543162),1334,TAKSHASHILA MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,16557.0,19.2543162
124,16704 (17.5438596),16290,SINHGAD COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,16704.0,17.5438596
125,16720 (17.5241679),16262,SHRI R K PATIL ARTS COMMERCE AND SCIENCE,BCA,MAH-CET,AI,AI to AI,16720.0,17.5241679
126,16792 (17.2432596),16144,DESHBHAKATA SAMBHAJIRAO GARAD,BCA,MAH-CET,AI,AI to AI,16792.0,17.2432596
127,16823 (17.2432596),2689,SMT. S.K.GANDHI ARTS AMOLAK SCINCE P.H.GANDHI,BCA,MAH-CET,AI,AI to AI,16823.0,17.2432596
128,16916 (17.2432596),1323,MATOSHRI SHANTABAI GOTE ARTS COMMERCE AND,BCA,MAH-CET,AI,AI to AI,16916.0,17.2432596
129,16931 (17.2432596),5547,KISAN VIDYA PRASARAK SANSTHAS SPDM ARTS SBB,BCA,MAH-CET,AI,AI to AI,16931.0,17.2432596
130,16982 (16.7625811),6214,"K. E. Society's Rajarambapu Institute of Technology,",BCA,MAH-CET,AI,AI to AI,16982.0,16.7625811
131,16987 (16.7625811),16325,BHARAT SHIKSHAN PRASARAK MANDAL JAIKRANTI,BCA,MAH-CET,AI,AI to AI,16987.0,16.7625811
132,16988 (16.7625811),2664,"Deogiri College, Chh. Sambhaji Nagar",BCA,MAH-CET,AI,AI to AI,16988.0,16.7625811
133,17150 (16.3945970),16267,SKE BCA COLLEGE,BCA,MAH-CET,AI,AI to AI,17150.0,16.394597
134,17187 (15.9073056),6208,Deccan Education Society's Chintamanrao Institute,BCA,MAH-CET,AI,AI to AI,17187.0,15.9073056
135,17225 (15.5659763),5589,SHRI SHETH MURLIDHARJI MANSINGKA ARTS,BCA,MAH-CET,AI,AI to AI,17225.0,15.5659763
136,17311 (15.2598456),16137,DHANANJAYRAO GADGIL COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,17311.0,15.2598456
137,17406 (14.5107543),2731,SHIVNERI MAHAVIDYALAYA PALAM,BCA,MAH-CET,AI,AI to AI,17406.0,14.5107543
138,17473 (14.5107543),5605,W.K.B.S. MANDAL'S ARTS AND COMMERCE COLLEGE,BCA,MAH-CET,AI,AI to AI,17473.0,14.5107543
139,17476 (14.5107543),2677,SHRI SHIVAJI COLLEGE PARBHANI,BCA,MAH-CET,AI,AI to AI,17476.0,14.5107543
140,17585 (14.4239011),16212,BALASAHEB DESAI COLLEGE PATAN,BCA,MAH-CET,AI,AI to AI,17585.0,14.4239011
