Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
97,14531 (56.5488095),461324110,"Suryodaya College of Engineering & Technology, Nagpur",Master in Computer Application,AI-AI,AI,14531.0,56.5488095
98,14686 (56.5488095),663224110,Navsahyadri Education Society's Group of Institutions,Master in Computer Application,AI-AI,AI,14686.0,56.5488095
99,14798 (56.5488095),200524110,"Dr. Babasaheb Ambedkar Marathwada Vidyapeeth,(Aurangabad) Sub Section - Osmanabad",Master in Computer Application,AI-AI,AI,14798.0,56.5488095
100,14880 (56.5488095),614024110,"Dnyan Kala Krida & Krishi Prathishtan's Maharashtra Institute of Management, Kalamb, Pune",Master in Computer Application,AI-AI,AI,14880.0,56.5488095
101,14913 (53.942159),212024110,"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",Master in Computer Application,AI-AI,AI,14913.0,53.942159
102,14992 (53.942159),538624110,"Dr. B.V. Hiray College of Management & Research Centre, Malegaon.",Master in Computer Application,AI-AI,AI,14992.0,53.942159
103,15196 (53.942159),321824110,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Master in Computer Application,AI-AI,AI,15196.0,53.942159
104,15335 (53.942159),530324110,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha",Master in Computer Application,AI-AI,AI,15335.0,53.942159
105,15445 (53.942159),511924110,"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",Master in Computer Application,AI-AI,AI,15445.0,53.942159
106,15515 (51.4093808),627724110,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Master in Computer Application,AI-AI,AI,15515.0,51.4093808
107,15660 (51.4093808),621924110,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Master in Computer Application,AI-AI,AI,15660.0,51.4093808
108,15713 (51.4093808),624024110,"Siddhant Institute Of Computer Application, Sudambare",Master in Computer Application,AI-AI,AI,15713.0,51.4093808
109,15867 (51.4093808),626824110,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Master in Computer Application,AI-AI,AI,15867.0,51.4093808
