institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",0629894010,ME/M.Tech,Data Sciences,GSTS,4333,4.42,G,S,ST,2025,3
6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",0631124510,ME/M.Tech,Computer Engineering,GOPENS,3895,5.84,G,S,OPEN,2025,3
6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",0631124510,ME/M.Tech,Computer Engineering,GNT2S,4914,2.37,G,S,NT2,2025,3
6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",0631794310,ME/M.Tech,Artificial Intelligence and Data Science,GSCS,1483,62.8,G,S,SC,2025,3
6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",0632024510,ME/M.Tech,Computer Engineering,GOPENS,5151,1.29,G,S,OPEN,2025,3
6609,"Jaihind College Of Engineering,Kuran",0660994310,ME/M.Tech,Artificial Intelligence and Data Science,GOPENS,4771,2.92,G,S,OPEN,2025,3
6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",0663421010,ME/M.Tech,Construction Management,GOPENS,5236,0.68,G,S,OPEN,2025,3
6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",0664921010,ME/M.Tech,Construction Management,GSCS,4315,4.43,G,S,SC,2025,3
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",0673221010,ME/M.Tech,Construction Management,GOPENS,3321,7.57,G,S,OPEN,2025,3
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",0673221010,ME/M.Tech,Construction Management,GOBCS,5032,1.7,G,S,OBC,2025,3
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",0673221210,ME/M.Tech,Structural Engineering,GOPENS,1814,12.4,G,S,OPEN,2025,3
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",0673224510,ME/M.Tech,Computer Engineering,GSTS,4095,5.24,G,S,ST,2025,3
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",0673224510,ME/M.Tech,Computer Engineering,GOBCS,1655,60.0,G,S,OBC,2025,3
6754,"International Institute of Information Technology (I²IT), Pune.",0675424510,ME/M.Tech,Computer Engineering,GOPENS,1519,13.83,G,S,OPEN,2025,3
6754,"International Institute of Information Technology (I²IT), Pune.",0675424510,ME/M.Tech,Computer Engineering,GSCS,2459,10.07,G,S,SC,2025,3
6755,"JSPM Narhe Technical Campus, Pune.",0675524510,ME/M.Tech,Computer Engineering,GOPENS,3836,6.0,G,S,OPEN,2025,3
6756,"Fabtech Technical Campus College of Engineering and Research, Sangola",0675629310,ME/M.Tech,Electrical Engineering,GSTS,3721,6.33,G,S,ST,2025,3
6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",0676921010,ME/M.Tech,Construction Management,GOPENS,4896,2.38,G,S,OPEN,2025,3
6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",0677121210,ME/M.Tech,Structural Engineering,GOPENS,5175,1.02,G,S,OPEN,2025,3
6794,"Anantrao Pawar College of Engineering & Research, Pune",0679424510,ME/M.Tech,Computer Engineering,GOPENS,3400,7.28,G,S,OPEN,2025,3
