sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
191,44129,17.82,321010210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",M. M. S.,MI to AI,MI-AI
192,44435,16.38,345210210,"Matoshri. Ushatai Jadhav Institute of Management studies & Research Centre, Bhivandi",M. M. S.,AI to AI,AI
193,44466,16.17,621463110,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli","MBA - Innovation, Entrepreneurship and Venture Development (IEV)",AI to AI,AI
194,44532,16.11,512410110,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",M. B. A.,AI to AI,AI
195,44734,15.67,620910110,"Deshbhakta Ratnappa Kumbhar College of Commerce, Kolhapur",M. B. A.,AI to AI,AI
196,44936,15.48,620010110,"Nav-Sahyadri Charitable Trust's Institute of Management Science,Pimpri BK, Khed",M. B. A.,AI to AI,AI
197,45121,15.48,629310110,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",M. B. A.,AI to AI,AI
198,45144,15.29,414510110,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",M. B. A.,AI to AI,AI
200,45341,14.77,410110110,"Shree Shivaji Education Society, Dr. Panjabrao Deshmukh Institute of Management Technology & Research, Nagpur",M. B. A.,AI to AI,AI
201,45365,14.57,617010110,"Abhinav Education Society's Institute of Management and Research, Haveli, Pune",M. B. A.,AI to AI,AI
202,45380,14.15,211010110,"Nirmal Krida and Samaj Prabhodhan Trust, Institute of Management, Badnapur",M. B. A.,AI to AI,AI
203,45454,14.15,411210110,"Priyadarshini Lokmanya Tilak Institute of Management Studies & Research, Nagpur",M. B. A.,AI to AI,AI
204,45479,14.15,533010110,"PUNE VIDYARTHI GRIHAâ€™S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUT MANAGEMENT, NASHIK",E OF M. B. A.,AI to AI,AI
205,45880,13.36,517310110,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)",M. B. A.,AI to AI,AI
206,46099,13,629810110,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",M. B. A.,AI to AI,AI
207,46148,12.97,411410110,"Department of Business Management, C. P. Berar Education Society's College, Nagpur",M. B. A.,AI to AI,AI
208,46150,12.9,621710110,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",M. B. A.,AI to AI,AI
209,46157,12.58,615010110,"Sharad Chandra Pawar Institute of Management, Otur, Pune",M. B. A.,AI to AI,AI
210,46247,12.23,611710110,"Shri Shivaji Maratha Societys Institute of Management & Research, Pune",M. B. A.,AI to AI,AI
211,46483,11.65,512310110,"Nashik Gramin Shikshan Prasarak Mandal, Brahma Valley Institute of Management, Anjaneri, Nashik",M. B. A.,AI to AI,AI
212,46695,11.35,315810210,"Saket Gyanpeeth's, Saket College of management, Kalyan",M. M. S.,MI to AI,MI-AI
213,46709,10.96,410510110,"GES Department Of Management Technology N.M.D.PG College Of Arts, Commerce, Law & Management, Gondia",M. B. A.,AI to AI,AI
214,46844,10.72,311510210,"Anjuman-I-Islam's Allana Institute of Management Studies, Mumbai",M. M. S.,MI to AI,MI-AI
215,46854,10.72,612410110,"Kasturi Shikshan Sansta's Institute of Management, Shikhrapur",M. B. A.,AI to AI,AI
216,47099,10.38,551010110,Sanjivani Institute of Management Studies,M. B. A.,AI to AI,AI
217,47177,10.32,677310110,"Akemi Business School, Mulsi, Pune.",M. B. A.,AI to AI,AI
218,47182,10.12,530310110,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",M. B. A.,AI to AI,AI
220,47514,8.96,412010110,"G.H. Raisoni Foundation Society, G.H.. Raisoni School of Business Management, Nagpur",M. B. A.,AI to AI,AI
221,47776,8.76,512510110,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",M. B. A.,AI to AI,AI
222,47778,8.73,321910210,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",M. M. S.,MI to AI,MI-AI
223,47841,8.41,512910110,"Shri.Dattakrupa Shaikshnik & Krushi GramVikas Pratisthan's Sai Krupa Institute of Management Science, Ghargaon, Ahmednagar",M. B. A.,AI to AI,AI
224,47844,8.35,676010110,"Lotus Business School, Pune",M. B. A.,AI to AI,AI
225,47846,8.34,677510110,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune",M. B. A.,AI to AI,AI
226,47852,8.17,413310110,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",M. B. A.,AI to AI,AI
227,47861,8.13,683610110,"Dr.D.Y.Patil Institute Of Management & Entrepreneur Development,Talegaon",M. B. A.,AI to AI,AI
228,47964,8.07,621810110,"Gaurishankar Educational & Charitable Trust's Gaurishankar Institute of management Sciences, Limb, Satara",M. B. A.,AI to AI,AI
